,user_name,text
74,LeGoBo_,Entrevista en @infobae https://t.co/cObVMRRx0h
75,LeGoBo_,"Alberto Carrasquilla:
☑️ Le gusta la petrotributaria
☑️ Está de acuerdo con quitar subsidio a la gasolina
☑️ Considera que Petro va bien.
☑️ Dice que el monto de la petrotributaria es adecuado para el pago a la deuda.

La élite apátrida no parece incómoda con este gobierno. https://t.co/Pxc24x6iSH"
76,LeGoBo_,"3 de cada 10 motos en el país son adquiridas por mujeres (2019), el 92% de las motocicletas son utilizadas para trabajar y transportarse. 
Alza de gasolina es golpe directo al bolsillo de esta población que no está precisamente entre los 4000 más ricos."
77,LeGoBo_,"A marzo de 2022 en Colombia hay matriculadas 10.196.046 motos en todo el país. El 98,56% de los propietarios son de estratos 1, 2, 3 y 4 y de estos el 52,8% se localiza en estratos 1 y 2.

Esas motos no se impulsan precisamente con paneles solares ni aguacates."
78,LeGoBo_,"- Amor ¿Me explicas quién es Juan Mecánico y por qué te manda fotos desnuda?
- ME EXTRAÑA QUE ME RECLAMES ESO CUANDO NO DIJISTE NADA DE LOS 70 MIL MILLONES QUE SE ABUDINEARON NI LOS 6402 FALSOS POSITIVOS."
79,LeGoBo_,@AntonioCR1974 @jrestrp 🤫🤫🤫 https://t.co/8ajwycZsSE
80,LeGoBo_,Soporífero partido de Atlético Nacional vs Jaguares. Sacar un delantero para meter un volante defensivo y terminar sufriendo es el fútbol que le gusta a Pedro Sarmiento; O contratan un cuerpo técnico definitivo o nos va tocar acostumbrarnos a eso.
81,LeGoBo_,"@AntonioDiscolo1 @AntonioCR1974 @jrestrp ""La participación del tipo de combustible utilizado por los vehículos de transporte de  carga en Colombia es bastante equilibrada entre ACPM y Gasolina"".
Ustedes van por ahí repitiendo mentiras con el afán de creérselas ustedes mismos. https://t.co/rFsqBN2xEX"
82,LeGoBo_,@AndresG57437820 @AntonioCR1974 @jrestrp Jajaja
83,LeGoBo_,@estratozero @SanSeSeb UD mismo se contestó.
84,LeGoBo_,@DeportesEE Jajajajaja!
